"","play_id","play_time","weather_time","condition","temp","wind_dir","wind_speed","precip"
"93",2225,2018-09-06 22:52:00,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"94",2260,2018-09-06 22:52:00,2018-09-06 22:50:00,"Mostly Cloudy",79,"S",7,0
"95",2260,2018-09-06 22:52:00,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"96",2284,2018-09-06 22:53:56,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"97",2305,2018-09-06 22:54:54,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"98",2327,2018-09-06 22:55:52,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"99",2360,2018-09-06 22:56:50,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"100",2382,2018-09-06 22:57:48,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"101",2406,2018-09-06 22:58:46,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"102",2429,2018-09-06 22:59:44,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"103",2450,2018-09-06 23:00:42,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"104",2474,2018-09-06 23:01:41,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"105",2503,2018-09-06 23:02:39,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"106",2575,2018-09-06 23:03:37,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"107",2599,2018-09-06 23:04:35,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"108",2624,2018-09-06 23:05:33,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"109",2648,2018-09-06 23:06:31,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"110",2672,2018-09-06 23:07:29,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"111",2693,2018-09-06 23:08:27,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"112",2715,2018-09-06 23:09:25,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"113",2736,2018-09-06 23:10:24,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"114",2764,2018-09-06 23:11:22,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"115",2790,2018-09-06 23:12:20,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"116",2811,2018-09-06 23:13:18,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"117",2835,2018-09-06 23:14:16,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"118",2862,2018-09-06 23:15:14,2018-09-06 22:54:00,"Mostly Cloudy",79,"SSW",6,0
"119",2883,2018-09-06 23:16:12,2018-09-06 23:37:00,"Fair",78,"S",6,0
"120",2899,2018-09-06 23:16:12,2018-09-06 23:37:00,"Fair",78,"S",6,0
"121",2914,2018-09-06 23:16:12,2018-09-06 23:37:00,"Fair",78,"S",6,0
"122",2948,2018-09-06 23:19:06,2018-09-06 23:37:00,"Fair",78,"S",6,0
"123",2980,2018-09-06 23:20:05,2018-09-06 23:37:00,"Fair",78,"S",6,0
"124",3004,2018-09-06 23:21:03,2018-09-06 23:37:00,"Fair",78,"S",6,0
"125",3026,2018-09-06 23:22:01,2018-09-06 23:37:00,"Fair",78,"S",6,0
"126",3045,2018-09-06 23:22:59,2018-09-06 23:37:00,"Fair",78,"S",6,0
"127",3066,2018-09-06 23:23:57,2018-09-06 23:37:00,"Fair",78,"S",6,0
"128",3095,2018-09-06 23:24:55,2018-09-06 23:37:00,"Fair",78,"S",6,0
